# Posterior Distribution calculation
# Model: one Lorentz
# Configuration file: input_oneLorentz.dat
# Sigma: 0.5 to 1.5, step 0.02
# Mu: -0.5 to 0.5, step 0.02
# Data file: LD_sample_1.dat
# Data row: 4 to 1003
# sigma_list[0] = 0.5
# sigma_list[1] = 0.52
# sigma_list[2] = 0.54
# sigma_list[3] = 0.56
# sigma_list[4] = 0.58
# sigma_list[5] = 0.6
# sigma_list[6] = 0.62
# sigma_list[7] = 0.64
# sigma_list[8] = 0.66
# sigma_list[9] = 0.68
# sigma_list[10] = 0.7
# sigma_list[11] = 0.72
# sigma_list[12] = 0.74
# sigma_list[13] = 0.76
# sigma_list[14] = 0.78
# sigma_list[15] = 0.8
# sigma_list[16] = 0.82
# sigma_list[17] = 0.84
# sigma_list[18] = 0.86
# sigma_list[19] = 0.88
# sigma_list[20] = 0.9
# sigma_list[21] = 0.92
# sigma_list[22] = 0.94
# sigma_list[23] = 0.96
# sigma_list[24] = 0.98
# sigma_list[25] = 1
# sigma_list[26] = 1.02
# sigma_list[27] = 1.04
# sigma_list[28] = 1.06
# sigma_list[29] = 1.08
# sigma_list[30] = 1.1
# sigma_list[31] = 1.12
# sigma_list[32] = 1.14
# sigma_list[33] = 1.16
# sigma_list[34] = 1.18
# sigma_list[35] = 1.2
# sigma_list[36] = 1.22
# sigma_list[37] = 1.24
# sigma_list[38] = 1.26
# sigma_list[39] = 1.28
# sigma_list[40] = 1.3
# sigma_list[41] = 1.32
# sigma_list[42] = 1.34
# sigma_list[43] = 1.36
# sigma_list[44] = 1.38
# sigma_list[45] = 1.4
# sigma_list[46] = 1.42
# sigma_list[47] = 1.44
# sigma_list[48] = 1.46
# sigma_list[49] = 1.48
# sigma_list[50] = 1.5
# mu_list[0] = -0.5
# mu_list[1] = -0.48
# mu_list[2] = -0.46
# mu_list[3] = -0.44
# mu_list[4] = -0.42
# mu_list[5] = -0.4
# mu_list[6] = -0.38
# mu_list[7] = -0.36
# mu_list[8] = -0.34
# mu_list[9] = -0.32
# mu_list[10] = -0.3
# mu_list[11] = -0.28
# mu_list[12] = -0.26
# mu_list[13] = -0.24
# mu_list[14] = -0.22
# mu_list[15] = -0.2
# mu_list[16] = -0.18
# mu_list[17] = -0.16
# mu_list[18] = -0.14
# mu_list[19] = -0.12
# mu_list[20] = -0.1
# mu_list[21] = -0.08
# mu_list[22] = -0.06
# mu_list[23] = -0.04
# mu_list[24] = -0.02
# mu_list[25] = 0
# mu_list[26] = 0.02
# mu_list[27] = 0.04
# mu_list[28] = 0.06
# mu_list[29] = 0.08
# mu_list[30] = 0.1
# mu_list[31] = 0.12
# mu_list[32] = 0.14
# mu_list[33] = 0.16
# mu_list[34] = 0.18
# mu_list[35] = 0.2
# mu_list[36] = 0.22
# mu_list[37] = 0.24
# mu_list[38] = 0.26
# mu_list[39] = 0.28
# mu_list[40] = 0.3
# mu_list[41] = 0.32
# mu_list[42] = 0.34
# mu_list[43] = 0.36
# mu_list[44] = 0.38
# mu_list[45] = 0.4
# mu_list[46] = 0.42
# mu_list[47] = 0.44
# mu_list[48] = 0.46
# mu_list[49] = 0.48
# mu_list[50] = 0.5
# Free energy: 2594.19
# sigma mu posterior_distribution
0.5	-0.5	2.01228e-105
0.5	-0.48	3.15588e-102
0.5	-0.46	3.78736e-99
0.5	-0.44	3.45223e-96
0.5	-0.42	2.3734e-93
0.5	-0.4	1.22272e-90
0.5	-0.38	4.69234e-88
0.5	-0.36	1.33422e-85
0.5	-0.34	2.79754e-83
0.5	-0.32	4.30762e-81
0.5	-0.3	4.85368e-79
0.5	-0.28	3.99015e-77
0.5	-0.26	2.38744e-75
0.5	-0.24	1.03766e-73
0.5	-0.22	3.27114e-72
0.5	-0.2	7.47059e-71
0.5	-0.18	1.23496e-69
0.5	-0.16	1.47681e-68
0.5	-0.14	1.277e-67
0.5	-0.12	7.98222e-67
0.5	-0.1	3.60629e-66
0.5	-0.08	1.17755e-65
0.5	-0.06	2.77909e-65
0.5	-0.04	4.74137e-65
0.5	-0.02	5.84955e-65
0.5	0	5.22124e-65
0.5	0.02	3.37422e-65
0.5	0.04	1.58037e-65
0.5	0.06	5.37166e-66
0.5	0.08	1.32729e-66
0.5	0.1	2.38926e-67
0.5	0.12	3.14138e-68
0.5	0.14	3.02601e-69
0.5	0.16	2.14315e-70
0.5	0.18	1.1205e-71
0.5	0.2	4.34403e-73
0.5	0.22	1.25491e-74
0.5	0.24	2.71548e-76
0.5	0.26	4.42589e-78
0.5	0.28	5.46493e-80
0.5	0.3	5.14251e-82
0.5	0.32	3.71016e-84
0.5	0.34	2.06474e-86
0.5	0.36	8.91683e-89
0.5	0.38	3.00612e-91
0.5	0.4	7.9576e-94
0.5	0.42	1.6634e-96
0.5	0.44	2.76087e-99
0.5	0.46	3.65803e-102
0.5	0.48	3.88916e-105
0.5	0.5	3.33475e-108

0.52	-0.5	1.95033e-98
0.52	-0.48	2.55216e-95
0.52	-0.46	2.57307e-92
0.52	-0.44	1.98477e-89
0.52	-0.42	1.1637e-86
0.52	-0.4	5.1545e-84
0.52	-0.38	1.71517e-81
0.52	-0.36	4.26562e-79
0.52	-0.34	7.89275e-77
0.52	-0.32	1.08216e-74
0.52	-0.3	1.0956e-72
0.52	-0.28	8.16587e-71
0.52	-0.26	4.46948e-69
0.52	-0.24	1.79272e-67
0.52	-0.22	5.26067e-66
0.52	-0.2	1.12789e-64
0.52	-0.18	1.76499e-63
0.52	-0.16	2.01432e-62
0.52	-0.14	1.67565e-61
0.52	-0.12	1.01563e-60
0.52	-0.1	4.4843e-60
0.52	-0.08	1.44217e-59
0.52	-0.06	3.37855e-59
0.52	-0.04	5.76668e-59
0.52	-0.02	7.17413e-59
0.52	0	6.50898e-59
0.52	0.02	4.31034e-59
0.52	0.04	2.08563e-59
0.52	0.06	7.38407e-60
0.52	0.08	1.91622e-60
0.52	0.1	3.65267e-61
0.52	0.12	5.12725e-62
0.52	0.14	5.31552e-63
0.52	0.16	4.08371e-64
0.52	0.18	2.33373e-65
0.52	0.2	9.96188e-67
0.52	0.22	3.19074e-68
0.52	0.24	7.70557e-70
0.52	0.26	1.41026e-71
0.52	0.28	1.96649e-73
0.52	0.3	2.10067e-75
0.52	0.32	1.72873e-77
0.52	0.34	1.10215e-79
0.52	0.36	5.47453e-82
0.52	0.38	2.13042e-84
0.52	0.4	6.53106e-87
0.52	0.42	1.5858e-89
