# Average: 1.8185e+02
     0   6.4954e+03   1.0000e+00   1.0000e+00
     1   2.9397e+03   4.5258e-01   1.4526e+00
     2   1.1922e+03   1.8354e-01   1.6361e+00
     3   4.7347e+02   7.2893e-02   1.7090e+00
     4   1.9360e+02   2.9806e-02   1.7388e+00
     5   8.0911e+01   1.2457e-02   1.7513e+00
     6   3.6237e+01   5.5788e-03   1.7569e+00
     7   2.7196e+01   4.1870e-03   1.7610e+00
     8   2.5611e+01   3.9429e-03   1.7650e+00
     9   1.3355e+01   2.0561e-03   1.7670e+00
    10   3.2633e+00   5.0240e-04   1.7675e+00
    11  -2.5296e+00  -3.8945e-04   1.7672e+00
    12   2.8859e+00   4.4430e-04   1.7676e+00
    13  -2.6662e+00  -4.1047e-04   1.7672e+00
    14  -2.6083e+00  -4.0155e-04   1.7668e+00
    15  -1.7891e+00  -2.7544e-04   1.7665e+00
    16  -2.0000e+00  -3.0791e-04   1.7662e+00
    17   4.0644e+00   6.2573e-04   1.7668e+00
    18   9.6220e+00   1.4813e-03   1.7683e+00
    19   9.7520e+00   1.5014e-03   1.7698e+00
    20   9.1582e+00   1.4100e-03   1.7712e+00
    21   1.8452e+00   2.8408e-04   1.7715e+00
    22  -2.1261e+00  -3.2732e-04   1.7712e+00
    23  -3.0558e+00  -4.7046e-04   1.7707e+00
    24  -9.0043e+00  -1.3863e-03   1.7693e+00
    25  -1.4187e+01  -2.1842e-03   1.7671e+00
    26  -1.1089e+01  -1.7073e-03   1.7654e+00
    27  -1.1550e+01  -1.7782e-03   1.7637e+00
    28  -1.0359e+01  -1.5948e-03   1.7621e+00
    29  -1.3359e+01  -2.0567e-03   1.7600e+00
    30  -6.0342e+00  -9.2900e-04   1.7591e+00
    31   4.9186e+00   7.5724e-04   1.7598e+00
    32  -5.5972e+00  -8.6171e-04   1.7590e+00
    33  -2.7899e+00  -4.2952e-04   1.7585e+00
    34   7.3007e+00   1.1240e-03   1.7597e+00
    35   7.5460e+00   1.1617e-03   1.7608e+00
    36   3.6857e+00   5.6743e-04   1.7614e+00
    37  -6.1910e+00  -9.5313e-04   1.7604e+00
    38  -2.3423e+01  -3.6060e-03   1.7568e+00
    39  -1.9666e+01  -3.0277e-03   1.7538e+00
    40  -6.2392e+00  -9.6055e-04   1.7528e+00
    41  -1.1333e+01  -1.7448e-03   1.7511e+00
    42  -1.3531e+01  -2.0832e-03   1.7490e+00
